"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"597.7499999571592","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","3","51371","0.0-2.0-0.0-1.0","1uuq","true"
"783.6200000019744","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","5","52660","0.0-2.0-0.0-1.1","1uuq","true"
"596.0549999726936","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","7","53764","0.0-2.0-0.0-1.2","1uuq","true"
"393.67500005755574","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","9","54663","0.0-2.0-0.0-1.3","1uuq","true"
"423.6400000518188","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","11","55592","0.0-2.0-0.0-1.4","1uuq","true"
"431.6049999324605","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","13","56527","0.0-2.0-0.0-1.5","1uuq","true"
"427.90000000968575","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","15","57458","0.0-2.0-0.0-1.6","1uuq","true"
"531.6449999809265","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","17","58498","0.0-2.0-0.0-1.7","1uuq","true"
"439.97499998658895","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","19","59450","0.0-2.0-0.0-1.8","1uuq","true"
"424.1299999412149","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","21","60386","0.0-2.0-0.0-1.9","1uuq","true"
"606.084999977611","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","23","61496","0.0-2.0-0.0-1.10","1uuq","true"
"574.529999983497","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","25","62574","0.0-2.0-0.0-1.11","1uuq","true"
"404.4099999591708","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","28","76751","0.0-3.0-0.0-1.0","1uuq","true"
"412.9650000249967","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","30","77669","0.0-3.0-0.0-1.1","1uuq","true"
"378.4649999579415","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","32","78556","0.0-3.0-0.0-1.2","1uuq","true"
"477.48000000137836","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","34","79538","0.0-3.0-0.0-1.3","1uuq","true"
"386.7750000208616","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","36","80438","0.0-3.0-0.0-1.4","1uuq","true"
"351.51500010397285","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","38","81297","0.0-3.0-0.0-1.5","1uuq","true"
"392.5250000320375","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","40","82194","0.0-3.0-0.0-1.6","1uuq","true"
"485.14999996405095","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","42","83183","0.0-3.0-0.0-1.7","1uuq","true"
"441.72500004060566","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","44","84132","0.0-3.0-0.0-1.8","1uuq","true"
"490.7899999525398","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","46","85127","0.0-3.0-0.0-1.9","1uuq","true"
"536.614999989979","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","83","stim_present","test","red","right","html-keyboard-response","48","86173","0.0-3.0-0.0-1.10","1uuq","false"
"552.4849999928847","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","76","stim_present","test","green","left","html-keyboard-response","50","87233","0.0-3.0-0.0-1.11","1uuq","false"
"764.0050000045449","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","83","stim_present","test","red","middle","html-keyboard-response","52","88506","0.0-3.0-0.0-1.12","1uuq","false"
"630.254999967292","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","54","89644","0.0-3.0-0.0-1.13","1uuq","true"
"479.67999998945743","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","56","90637","0.0-3.0-0.0-1.14","1uuq","true"
"681.6049999324605","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","58","91821","0.0-3.0-0.0-1.15","1uuq","true"
"461.0800000373274","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","60","92789","0.0-3.0-0.0-1.16","1uuq","true"
"492.23500001244247","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","62","93784","0.0-3.0-0.0-1.17","1uuq","true"
"437.90500005707145","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","64","94728","0.0-3.0-0.0-1.18","1uuq","true"
"431.89499992877245","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","66","95663","0.0-3.0-0.0-1.19","1uuq","true"
"403.31500000320375","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","68","96576","0.0-3.0-0.0-1.20","1uuq","true"
"396.9049999723211","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","70","97484","0.0-3.0-0.0-1.21","1uuq","true"
"389.33000003453344","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","72","98381","0.0-3.0-0.0-1.22","1uuq","true"
"400.03999997861683","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","74","99286","0.0-3.0-0.0-1.23","1uuq","true"
"629.7350000822917","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","76","100426","0.0-3.0-0.0-1.24","1uuq","true"
"422.8899999288842","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","78","101358","0.0-3.0-0.0-1.25","1uuq","true"
"491.2999999942258","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""659.45"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","80","102357","0.0-3.0-0.0-1.26","1uuq","true"
"421.195000060834","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","82","103290","0.0-3.0-0.0-1.27","1uuq","true"
"397.48500008136034","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""1042.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","84","104196","0.0-3.0-0.0-1.28","1uuq","true"
"445.9349999669939","<svg height=""711"" width=""1390""><rect height=""71.1"" width=""71.1""y=""319.95""x=""347.5"" fill=""green""/></svg>","76","stim_present","test","green","left","html-keyboard-response","86","105151","0.0-3.0-0.0-1.29","1uuq","false"
