"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"523.5950000060257","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","76","stim_present","training","green","right","html-keyboard-response","3","35961","0.0-2.0-0.0-1.0","3edp","false"
"385.5150000017602","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","83","stim_present","training","red","middle","html-keyboard-response","5","36851","0.0-2.0-0.0-1.1","3edp","false"
"735.9399999986636","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","7","38091","0.0-2.0-0.0-1.2","3edp","true"
"535.0800000014715","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","9","39131","0.0-2.0-0.0-1.3","3edp","true"
"535.859999989043","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","83","stim_present","training","red","left","html-keyboard-response","11","40171","0.0-2.0-0.0-1.4","3edp","false"
"1386.51499999105","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","76","stim_present","training","green","left","html-keyboard-response","13","42061","0.0-2.0-0.0-1.5","3edp","false"
"1306.8449999991572","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","15","43871","0.0-2.0-0.0-1.6","3edp","true"
"846.7249999957858","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","76","stim_present","training","green","middle","html-keyboard-response","17","45223","0.0-2.0-0.0-1.7","3edp","false"
"664.5399999979418","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","19","46391","0.0-2.0-0.0-1.8","3edp","true"
"1385.9550000051968","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","21","48281","0.0-2.0-0.0-1.9","3edp","true"
"687.7499999973224","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","23","49472","0.0-2.0-0.0-1.10","3edp","true"
"541.7799999995623","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","25","50519","0.0-2.0-0.0-1.11","3edp","true"
"464.9500000086846","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","28","65991","0.0-3.0-0.0-1.0","3edp","true"
"396.77999999548774","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","30","66891","0.0-3.0-0.0-1.1","3edp","true"
"466.935000004014","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","32","67861","0.0-3.0-0.0-1.2","3edp","true"
"446.2700000003679","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","34","68811","0.0-3.0-0.0-1.3","3edp","true"
"347.3050000029616","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","36","69662","0.0-3.0-0.0-1.4","3edp","true"
"506.3700000027893","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","76","stim_present","test","green","left","html-keyboard-response","38","70671","0.0-3.0-0.0-1.5","3edp","false"
"515.5999999988126","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","40","71691","0.0-3.0-0.0-1.6","3edp","true"
"496.18000000191387","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","42","72691","0.0-3.0-0.0-1.7","3edp","true"
"876.0499999916647","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","44","74071","0.0-3.0-0.0-1.8","3edp","true"
"517.1400000108406","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","46","75093","0.0-3.0-0.0-1.9","3edp","true"
"534.7250000049826","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","48","76131","0.0-3.0-0.0-1.10","3edp","true"
"555.8049999963259","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","50","77191","0.0-3.0-0.0-1.11","3edp","true"
"435.51000001025386","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","52","78131","0.0-3.0-0.0-1.12","3edp","true"
"426.23499999172054","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","54","79062","0.0-3.0-0.0-1.13","3edp","true"
"426.69500000192784","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","56","79991","0.0-3.0-0.0-1.14","3edp","true"
"466.25500000664033","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","76","stim_present","test","green","left","html-keyboard-response","58","80961","0.0-3.0-0.0-1.15","3edp","false"
"505.98999999056105","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","76","stim_present","test","green","right","html-keyboard-response","60","81972","0.0-3.0-0.0-1.16","3edp","false"
"615.845000007539","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","62","83091","0.0-3.0-0.0-1.17","3edp","true"
"546.2550000083866","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","64","84141","0.0-3.0-0.0-1.18","3edp","true"
"477.03000000910833","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","66","85122","0.0-3.0-0.0-1.19","3edp","true"
"501.52999999409076","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","68","86131","0.0-3.0-0.0-1.20","3edp","true"
"706.4400000090245","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","70","87341","0.0-3.0-0.0-1.21","3edp","true"
"496.23499999870546","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","72","88341","0.0-3.0-0.0-1.22","3edp","true"
"455.91499999864027","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","74","89302","0.0-3.0-0.0-1.23","3edp","true"
"445.80000000132713","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","76","90251","0.0-3.0-0.0-1.24","3edp","true"
"525.8000000030734","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","78","91281","0.0-3.0-0.0-1.25","3edp","true"
"425.2649999980349","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","80","92211","0.0-3.0-0.0-1.26","3edp","true"
"456.39500000106636","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","82","93171","0.0-3.0-0.0-1.27","3edp","true"
"626.5049999929033","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","84","94301","0.0-3.0-0.0-1.28","3edp","true"
"667.4550000025192","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","86","95473","0.0-3.0-0.0-1.29","3edp","true"
"374.60499998996966","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","88","96352","0.0-3.0-0.0-1.30","3edp","true"
"405.94500000588596","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""585"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","90","97261","0.0-3.0-0.0-1.31","3edp","true"
"386.4249999896856","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","92","98151","0.0-3.0-0.0-1.32","3edp","true"
"575.8249999926193","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""934.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","94","99231","0.0-3.0-0.0-1.33","3edp","true"
"336.9500000117114","<svg height=""760"" width=""1246""><rect height=""76"" width=""76""y=""342""x=""311.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","96","100072","0.0-3.0-0.0-1.34","3edp","true"
