"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"508.5149999940768","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""1042.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","3","48377","0.0-2.0-0.0-1.0","6bye","true"
"801.7600000021048","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""660.85"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","5","49681","0.0-2.0-0.0-1.1","6bye","true"
"512.3899999889545","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""1042.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","7","50697","0.0-2.0-0.0-1.2","6bye","true"
"710.239999985788","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""347.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","9","51913","0.0-2.0-0.0-1.3","6bye","true"
"936.0049999959301","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""347.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","11","53353","0.0-2.0-0.0-1.4","6bye","true"
"717.9349999933038","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""660.85"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","13","54577","0.0-2.0-0.0-1.5","6bye","true"
"470.0449999945704","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""347.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","15","55553","0.0-2.0-0.0-1.6","6bye","true"
"453.9949999889359","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""1042.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","17","56513","0.0-2.0-0.0-1.7","6bye","true"
"585.9550000168383","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""1042.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","19","57601","0.0-2.0-0.0-1.8","6bye","true"
"509.1400000092108","<svg height=""683"" width=""1390""><rect height=""68.3"" width=""68.3""y=""307.35""x=""660.85"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","21","58616","0.0-2.0-0.0-1.9","6bye","true"
