"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"1626","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""1138.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","3","42081","0.0-2.0-0.0-1.0","9vpe","true"
"1198","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""713.3"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","5","43781","0.0-2.0-0.0-1.1","9vpe","true"
"525","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""1138.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","7","44809","0.0-2.0-0.0-1.2","9vpe","true"
"530","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""713.3"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","9","45841","0.0-2.0-0.0-1.3","9vpe","true"
"517","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""379.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","11","46861","0.0-2.0-0.0-1.4","9vpe","true"
"463","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""379.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","13","47827","0.0-2.0-0.0-1.5","9vpe","true"
"562","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""713.3"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","15","48891","0.0-2.0-0.0-1.6","9vpe","true"
"433","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""379.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","17","49826","0.0-2.0-0.0-1.7","9vpe","true"
"469","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""713.3"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","19","50798","0.0-2.0-0.0-1.8","9vpe","true"
"557.9999999999927","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""1138.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","21","51859","0.0-2.0-0.0-1.9","9vpe","true"
"568.0000000000073","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""1138.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","23","52929","0.0-2.0-0.0-1.10","9vpe","true"
"667.9999999999927","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""379.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","25","54100","0.0-2.0-0.0-1.11","9vpe","true"
"396","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""1138.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","28","59776","0.0-3.0-0.0-1.0","9vpe","true"
"509","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""379.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","30","60788","0.0-3.0-0.0-1.1","9vpe","true"
"556","<svg height=""914"" width=""1518""><rect height=""91.4"" width=""91.4""y=""411.3""x=""713.3"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","32","61847","0.0-3.0-0.0-1.2","9vpe","true"
