"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"718.0000000000073","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""347.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","3","40627","0.0-2.0-0.0-1.0","g03u","true"
"545","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""655.65"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","5","41676","0.0-2.0-0.0-1.1","g03u","true"
"509.9999999999927","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""347.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","7","42688","0.0-2.0-0.0-1.2","g03u","true"
"396","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""1042.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","9","43587","0.0-2.0-0.0-1.3","g03u","true"
"400","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""655.65"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","11","44490","0.0-2.0-0.0-1.4","g03u","true"
"671","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""1042.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","13","45664","0.0-2.0-0.0-1.5","g03u","true"
"1145.0000000000073","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""1042.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","15","47312","0.0-2.0-0.0-1.6","g03u","true"
"486.9999999999927","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""655.65"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","17","48302","0.0-2.0-0.0-1.7","g03u","true"
"535","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""1042.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","19","49340","0.0-2.0-0.0-1.8","g03u","true"
"303","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""347.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","21","50146","0.0-2.0-0.0-1.9","g03u","true"
"449","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""347.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","23","51098","0.0-2.0-0.0-1.10","g03u","true"
"624","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""655.65"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","25","52225","0.0-2.0-0.0-1.11","g03u","true"
"569","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""1042.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","28","66034","0.0-3.0-0.0-1.0","g03u","true"
"335","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""655.65"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","30","66871","0.0-3.0-0.0-1.1","g03u","true"
"307","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""347.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","32","67681","0.0-3.0-0.0-1.2","g03u","true"
"332","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""1042.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","34","68517","0.0-3.0-0.0-1.3","g03u","true"
"354","<svg height=""787"" width=""1390""><rect height=""78.7"" width=""78.7""y=""354.15""x=""655.65"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","36","69374","0.0-3.0-0.0-1.4","g03u","true"
