"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"543.3800000173505","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""1059"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","3","35743","0.0-2.0-0.0-1.0","jqpo","true"
"474.7849999985192","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""353"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","5","36732","0.0-2.0-0.0-1.1","jqpo","true"
"357.06999999820255","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""670.85"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","7","37599","0.0-2.0-0.0-1.2","jqpo","true"
"357.0849999960046","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""353"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","9","38460","0.0-2.0-0.0-1.3","jqpo","true"
"414.57500000251457","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""670.85"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","11","39379","0.0-2.0-0.0-1.4","jqpo","true"
"429.0000000037253","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""1059"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","13","40318","0.0-2.0-0.0-1.5","jqpo","true"
"310.30000001192093","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""1059"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","15","41142","0.0-2.0-0.0-1.6","jqpo","true"
"515.6049999932293","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""1059"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","17","42161","0.0-2.0-0.0-1.7","jqpo","true"
"355.9250000107568","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""670.85"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","19","43033","0.0-2.0-0.0-1.8","jqpo","true"
"541.1600000225008","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""353"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","21","44078","0.0-2.0-0.0-1.9","jqpo","true"
"488.12999998335727","<svg height=""703"" width=""1412""><rect height=""70.3"" width=""70.3""y=""316.35""x=""353"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","23","45073","0.0-2.0-0.0-1.10","jqpo","true"
