"rt","stimulus","key_press","type","part","color","position","trial_type","trial_index","time_elapsed","internal_node_id","subject","accuracy"
"558.2050000011805","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","3","28525","0.0-2.0-0.0-1.0","yn8a","true"
"293.1800000005751","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","5","29336","0.0-2.0-0.0-1.1","yn8a","true"
"353.67499999847496","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","7","30203","0.0-2.0-0.0-1.2","yn8a","true"
"343.7199999971199","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""red""/></svg>","76","stim_present","training","red","right","html-keyboard-response","9","31054","0.0-2.0-0.0-1.3","yn8a","true"
"469.08999999868684","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","11","32026","0.0-2.0-0.0-1.4","yn8a","true"
"358.15500000171596","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","13","32887","0.0-2.0-0.0-1.5","yn8a","true"
"649.2450000005192","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""red""/></svg>","76","stim_present","training","red","middle","html-keyboard-response","15","34049","0.0-2.0-0.0-1.6","yn8a","true"
"417.1100000021397","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""red""/></svg>","76","stim_present","training","red","left","html-keyboard-response","17","34968","0.0-2.0-0.0-1.7","yn8a","true"
"397.95500000036554","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""green""/></svg>","83","stim_present","training","green","left","html-keyboard-response","19","35868","0.0-2.0-0.0-1.8","yn8a","true"
"379.37999999849126","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""green""/></svg>","83","stim_present","training","green","right","html-keyboard-response","21","36759","0.0-2.0-0.0-1.9","yn8a","true"
"371.3650000063353","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""red""/></svg>","83","stim_present","training","red","right","html-keyboard-response","23","37632","0.0-2.0-0.0-1.10","yn8a","false"
"381.1950000017532","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""green""/></svg>","83","stim_present","training","green","middle","html-keyboard-response","25","38516","0.0-2.0-0.0-1.11","yn8a","true"
"410.3850000028615","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","28","40007","0.0-3.0-0.0-1.0","yn8a","true"
"360.10499999974854","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","30","40869","0.0-3.0-0.0-1.1","yn8a","true"
"377.7699999991455","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","32","41749","0.0-3.0-0.0-1.2","yn8a","true"
"449.9350000041886","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","34","42702","0.0-3.0-0.0-1.3","yn8a","true"
"350.87499999644933","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""red""/></svg>","83","stim_present","test","red","left","html-keyboard-response","36","43556","0.0-3.0-0.0-1.4","yn8a","false"
"468.075000004319","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","38","44526","0.0-3.0-0.0-1.5","yn8a","true"
"436.93500000517815","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""green""/></svg>","83","stim_present","test","green","left","html-keyboard-response","40","45465","0.0-3.0-0.0-1.6","yn8a","true"
"444.30499999725726","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","42","46412","0.0-3.0-0.0-1.7","yn8a","true"
"499.1250000020955","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","44","47415","0.0-3.0-0.0-1.8","yn8a","true"
"380.1000000021304","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""green""/></svg>","83","stim_present","test","green","middle","html-keyboard-response","46","48303","0.0-3.0-0.0-1.9","yn8a","true"
"342.6850000032573","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","48","49149","0.0-3.0-0.0-1.10","yn8a","true"
"362.9549999968731","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","50","50014","0.0-3.0-0.0-1.11","yn8a","true"
"322.95999999769265","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""red""/></svg>","76","stim_present","test","red","middle","html-keyboard-response","52","50840","0.0-3.0-0.0-1.12","yn8a","true"
"312.7600000007078","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""709.4"" fill=""green""/></svg>","76","stim_present","test","green","middle","html-keyboard-response","54","51659","0.0-3.0-0.0-1.13","yn8a","false"
"401.1899999968591","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""red""/></svg>","76","stim_present","test","red","left","html-keyboard-response","56","52562","0.0-3.0-0.0-1.14","yn8a","true"
"322.7900000056252","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","58","53388","0.0-3.0-0.0-1.15","yn8a","true"
"348.6300000004121","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""371.5"" fill=""green""/></svg>","76","stim_present","test","green","left","html-keyboard-response","60","54239","0.0-3.0-0.0-1.16","yn8a","false"
"554.4349999981932","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""green""/></svg>","83","stim_present","test","green","right","html-keyboard-response","62","55302","0.0-3.0-0.0-1.17","yn8a","true"
"418.29499999585096","<svg height=""672"" width=""1486""><rect height=""67.2"" width=""67.2""y=""302.4""x=""1114.5"" fill=""red""/></svg>","76","stim_present","test","red","right","html-keyboard-response","64","56223","0.0-3.0-0.0-1.18","yn8a","true"
