from,to,weight
fake0,tpx46qea,4
NA,NA,NA
fake,NA,NA
ny7i65xf,39grl1tb,1
0ty8p249,we8zkaxp,1
wo215i77,0ty8p249,1
NA,NA,NA
we8zkaxp,xxkx1e1g,1
8qy1knb8,gcfrvnrq,1
469aazzl,guoa029e,1
vnnwzoon,y68rafkq,1
kffjpkwm,we8zkaxp,1
y68rafkq,m36p5uu7,1
cg5akdum,5y5w27n8,1
39grl1tb,xxkx1e1g,1
cl6iwdzj,39grl1tb,1
fyzi3ukn,lvtt31qo,1
lvtt31qo,fyzi3ukn,1
yyx7zv50,39grl1tb,1
e1h602xs,39grl1tb,2
guoa029e,m36p5uu7,1
xxkx1e1g,39grl1tb,1
ezfvh1yd,5y5w27n8,1
zan8z6cj,b98i0q0c,1
isrmkgxn,qtd4nwnf,1
9g3466ce,vnnwzoon,1
ctvn5bcc,299wzuz4,1
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,e442rd3v,1
5y5w27n8,cg5akdum,1
b98i0q0c,NA,NA
e442rd3v,299wzuz4,1
gcfrvnrq,NA,NA
9njhgqjt,isrmkgxn,1
b8h8uy0d,9njhgqjt,1
8qkm4op5,m36p5uu7,1
NA,NA,NA
qtd4nwnf,m36p5uu7,1
tpx46qea,NA,1
js5eao29,ttgp5d1q,1
pv34xizl,w76lz2ap,1
zo8vfvom,guoa029e,1
nxb120ab,o42b386c,1
ywj7r6yv,zo8vfvom,1
ky74qsy5,u6iy9n7v,1
u6iy9n7v,rsqgxgj7,1
ttgp5d1q,js5eao29,1
rsqgxgj7,u6iy9n7v,1
23mbj83y,u6iy9n7v,1
100,23mbj83y,1
w76lz2ap,ttgp5d1q,1
fake0,zo8vfvom,6
NA,NA,NA
fake,NA,NA
ny7i65xf,yyx7zv50,1
0ty8p249,wo215i77,1
wo215i77,kffjpkwm,1
NA,NA,NA
we8zkaxp,kffjpkwm,1
8qy1knb8,xxkx1e1g,1
469aazzl,8qy1knb8,1
vnnwzoon,9g3466ce,1
kffjpkwm,xxkx1e1g,1
y68rafkq,isrmkgxn,1
cg5akdum,ezfvh1yd,1
39grl1tb,yyx7zv50,1
cl6iwdzj,wo215i77,1
fyzi3ukn,b98i0q0c,1
lvtt31qo,b98i0q0c,1
yyx7zv50,xxkx1e1g,1
e1h602xs,yyx7zv50,1
guoa029e,xxkx1e1g,1
xxkx1e1g,guoa029e,1
ezfvh1yd,cg5akdum,1
zan8z6cj,299wzuz4,1
isrmkgxn,b8h8uy0d,1
9g3466ce,y68rafkq,1
ctvn5bcc,nxb120ab,1
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,nxb120ab,1
5y5w27n8,ezfvh1yd,1
b98i0q0c,NA,NA
e442rd3v,o42b386c,1
gcfrvnrq,NA,NA
9njhgqjt,b8h8uy0d,1
b8h8uy0d,isrmkgxn,1
8qkm4op5,9g3466ce,1
NA,NA,NA
qtd4nwnf,9g3466ce,1
tpx46qea,NA,1
js5eao29,zan8z6cj,1
pv34xizl,ttgp5d1q,1
zo8vfvom,ywj7r6yv,1
nxb120ab,rmdv0zae,1
ywj7r6yv,NA,NA
ky74qsy5,rsqgxgj7,1
u6iy9n7v,ky74qsy5,1
ttgp5d1q,gcfrvnrq,1
rsqgxgj7,ky74qsy5,1
23mbj83y,tpx46qea,1
100,NA,1
w76lz2ap,pv34xizl,1
fake0,fyzi3ukn,2
NA,NA,NA
fake,NA,NA
ny7i65xf,xxkx1e1g,1
0ty8p249,kffjpkwm,1
wo215i77,we8zkaxp,1
NA,NA,NA
we8zkaxp,wo215i77,1
8qy1knb8,kffjpkwm,1
469aazzl,vnnwzoon,1
vnnwzoon,m36p5uu7,1
kffjpkwm,8qy1knb8,1
y68rafkq,b8h8uy0d,1
cg5akdum,ctvn5bcc,1
39grl1tb,ny7i65xf,1
cl6iwdzj,we8zkaxp,1
fyzi3ukn,zan8z6cj,1
lvtt31qo,zan8z6cj,1
yyx7zv50,ny7i65xf,1
e1h602xs,xxkx1e1g,1
guoa029e,469aazzl,1
xxkx1e1g,yyx7zv50,1
ezfvh1yd,vnnwzoon,3
zan8z6cj,fyzi3ukn,1
isrmkgxn,9njhgqjt,1
9g3466ce,m36p5uu7,1
