from,to,weight
fake0,tpx46qea,NA
NA,tpx46qea,NA
fake,tpx46qea,NA
ny7i65xf,tpx46qea,0
0ty8p249,tpx46qea,-1
wo215i77,tpx46qea,-1
NA,tpx46qea,NA
we8zkaxp,tpx46qea,-1
8qy1knb8,tpx46qea,-1
469aazzl,tpx46qea,-1
vnnwzoon,tpx46qea,-1
kffjpkwm,tpx46qea,-1
y68rafkq,tpx46qea,-1
cg5akdum,tpx46qea,1
39grl1tb,tpx46qea,1
cl6iwdzj,tpx46qea,-1
fyzi3ukn,tpx46qea,0
lvtt31qo,tpx46qea,1
yyx7zv50,tpx46qea,1
e1h602xs,tpx46qea,-1
guoa029e,tpx46qea,-1
xxkx1e1g,tpx46qea,-1
ezfvh1yd,tpx46qea,-1
zan8z6cj,tpx46qea,0
isrmkgxn,tpx46qea,-1
9g3466ce,tpx46qea,-1
ctvn5bcc,tpx46qea,0
b98i0q0c,tpx46qea,NA
NA,tpx46qea,NA
rmdv0zae,tpx46qea,-1
5y5w27n8,tpx46qea,1
b98i0q0c,tpx46qea,NA
e442rd3v,tpx46qea,0
gcfrvnrq,tpx46qea,NA
9njhgqjt,tpx46qea,NA
b8h8uy0d,tpx46qea,-1
8qkm4op5,tpx46qea,-1
NA,tpx46qea,NA
qtd4nwnf,tpx46qea,-1
tpx46qea,tpx46qea,NA
js5eao29,tpx46qea,1
pv34xizl,tpx46qea,-1
zo8vfvom,tpx46qea,-1
nxb120ab,tpx46qea,-1
ywj7r6yv,tpx46qea,0
ky74qsy5,tpx46qea,0
u6iy9n7v,tpx46qea,0
ttgp5d1q,tpx46qea,0
rsqgxgj7,tpx46qea,-1
23mbj83y,tpx46qea,1
100,tpx46qea,1
w76lz2ap,tpx46qea,-1
fake0,cg5akdum,NA
NA,cg5akdum,NA
fake,cg5akdum,NA
ny7i65xf,cg5akdum,-1
0ty8p249,cg5akdum,0
wo215i77,cg5akdum,0
NA,cg5akdum,NA
we8zkaxp,cg5akdum,-1
8qy1knb8,cg5akdum,-1
469aazzl,cg5akdum,-1
vnnwzoon,cg5akdum,-1
kffjpkwm,cg5akdum,0
y68rafkq,cg5akdum,-1
cg5akdum,cg5akdum,NA
39grl1tb,cg5akdum,-1
cl6iwdzj,cg5akdum,-1
fyzi3ukn,cg5akdum,-1
lvtt31qo,cg5akdum,-1
yyx7zv50,cg5akdum,-1
e1h602xs,cg5akdum,-1
guoa029e,cg5akdum,-1
xxkx1e1g,cg5akdum,0
ezfvh1yd,cg5akdum,-1
zan8z6cj,cg5akdum,0
isrmkgxn,cg5akdum,-1
9g3466ce,cg5akdum,-1
ctvn5bcc,cg5akdum,1
b98i0q0c,cg5akdum,NA
NA,cg5akdum,NA
rmdv0zae,cg5akdum,-1
5y5w27n8,cg5akdum,1
b98i0q0c,cg5akdum,NA
e442rd3v,cg5akdum,0
gcfrvnrq,cg5akdum,NA
9njhgqjt,cg5akdum,NA
b8h8uy0d,cg5akdum,-1
8qkm4op5,cg5akdum,-1
NA,cg5akdum,NA
qtd4nwnf,cg5akdum,-1
tpx46qea,cg5akdum,-1
js5eao29,cg5akdum,-1
pv34xizl,cg5akdum,-1
zo8vfvom,cg5akdum,1
nxb120ab,cg5akdum,0
ywj7r6yv,cg5akdum,0
ky74qsy5,cg5akdum,-1
u6iy9n7v,cg5akdum,-1
ttgp5d1q,cg5akdum,-1
rsqgxgj7,cg5akdum,0
23mbj83y,cg5akdum,-1
100,cg5akdum,1
w76lz2ap,cg5akdum,-1
fake0,39grl1tb,NA
NA,39grl1tb,NA
fake,39grl1tb,NA
ny7i65xf,39grl1tb,1
0ty8p249,39grl1tb,0
wo215i77,39grl1tb,1
NA,39grl1tb,NA
we8zkaxp,39grl1tb,0
8qy1knb8,39grl1tb,-1
469aazzl,39grl1tb,0
vnnwzoon,39grl1tb,-1
kffjpkwm,39grl1tb,1
y68rafkq,39grl1tb,-1
cg5akdum,39grl1tb,NA
39grl1tb,39grl1tb,1
cl6iwdzj,39grl1tb,1
fyzi3ukn,39grl1tb,1
lvtt31qo,39grl1tb,-1
yyx7zv50,39grl1tb,1
e1h602xs,39grl1tb,1
guoa029e,39grl1tb,-1
xxkx1e1g,39grl1tb,1
ezfvh1yd,39grl1tb,-1
zan8z6cj,39grl1tb,-1
isrmkgxn,39grl1tb,-1
9g3466ce,39grl1tb,-1
ctvn5bcc,39grl1tb,1
b98i0q0c,39grl1tb,NA
NA,39grl1tb,NA
rmdv0zae,39grl1tb,-1
5y5w27n8,39grl1tb,0
b98i0q0c,39grl1tb,NA
e442rd3v,39grl1tb,0
gcfrvnrq,39grl1tb,NA
9njhgqjt,39grl1tb,NA
b8h8uy0d,39grl1tb,-1
8qkm4op5,39grl1tb,-1
NA,39grl1tb,NA
qtd4nwnf,39grl1tb,-1
