Group,Word,Validity,Condition,Round,ID_1,ID_2,Year
1701,search,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,heal,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,hear,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,race,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,seal,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,real,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,car,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,cars,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,ear,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,eras,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,era,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,ears,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,he,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,sea,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,as,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,hers,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,has,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,case,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,chase,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,arch,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,arches,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,ace,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,aces,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,sale,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,reach,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,laser,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,chase,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1701,cash,1,Type_1,2,euXQGFGfc,gj6PxQbd6,17
1708,chase,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,car,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,cars,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,sale,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,seal,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,case,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,race,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,races,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,lace,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,laces,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
1708,rash,1,Type_1,2,ylyjJTtUa,pMkk89CN2,17
