Word,Validity,Round,ID
tab,1,1,7kFJxdmGu
late,1,1,7kFJxdmGu
west,1,1,7kFJxdmGu
last,1,1,7kFJxdmGu
labs,1,1,7kFJxdmGu
swat,1,1,7kFJxdmGu
sweat,1,1,7kFJxdmGu
teal,1,1,7kFJxdmGu
bale,1,1,7kFJxdmGu
belt,1,1,7kFJxdmGu
blast,1,1,7kFJxdmGu
wats,1,1,7kFJxdmGu
blew,1,1,7kFJxdmGu
tesla,1,1,7kFJxdmGu
tale,1,1,7kFJxdmGu
wast,1,1,7kFJxdmGu
table,1,1,7kFJxdmGu
tables,1,1,7kFJxdmGu
bales,1,1,7kFJxdmGu
steal,1,1,7kFJxdmGu
lab,1,1,t2YVPYZKE
labs,1,1,t2YVPYZKE
base,1,1,t2YVPYZKE
was,1,1,t2YVPYZKE
law,1,1,t2YVPYZKE
laws,1,1,t2YVPYZKE
salt,1,1,t2YVPYZKE
bat,1,1,t2YVPYZKE
set,1,1,t2YVPYZKE
saw,1,1,t2YVPYZKE
sew,1,1,t2YVPYZKE
late,1,1,t2YVPYZKE
waste,1,1,t2YVPYZKE
bes,1,1,t2YVPYZKE
let,1,1,t2YVPYZKE
bet,1,1,t2YVPYZKE
wet,1,1,t2YVPYZKE
set,1,1,t2YVPYZKE
west,1,1,t2YVPYZKE
last,1,1,t2YVPYZKE
awe,1,1,t2YVPYZKE
tale,1,1,t2YVPYZKE
tales,1,1,t2YVPYZKE
last,1,1,t2YVPYZKE
blew,1,1,t2YVPYZKE
blast,1,1,t2YVPYZKE
alt,1,1,t2YVPYZKE
ate,1,1,t2YVPYZKE
aw,1,1,t2YVPYZKE
salt,1,1,SKyt2yBGC
tab,1,1,SKyt2yBGC
bale,1,1,SKyt2yBGC
stale,1,1,SKyt2yBGC
table,1,1,SKyt2yBGC
tables,1,1,SKyt2yBGC
wat,1,1,SKyt2yBGC
la,1,1,SKyt2yBGC
law,1,1,SKyt2yBGC
laws,1,1,SKyt2yBGC
slate,1,1,SKyt2yBGC
tesla,1,1,SKyt2yBGC
sale,1,1,SKyt2yBGC
late,1,1,SKyt2yBGC
lat,1,1,SKyt2yBGC
able,1,1,SKyt2yBGC
sweat,1,1,SKyt2yBGC
tea,1,1,SKyt2yBGC
ate,1,1,SKyt2yBGC
ale,1,1,SKyt2yBGC
teas,1,1,SKyt2yBGC
