Group,Word,Validity,Condition,Round,ID
11,mash,1,Type_1,3,7kFJxdmGu
11,mast,1,Type_1,3,7kFJxdmGu
11,met,1,Type_1,3,7kFJxdmGu
11,cat,1,Type_1,3,7kFJxdmGu
11,cats,1,Type_1,3,7kFJxdmGu
11,scat,1,Type_1,3,7kFJxdmGu
11,shat,1,Type_1,3,7kFJxdmGu
11,same,1,Type_1,3,7kFJxdmGu
11,ate,1,Type_1,3,7kFJxdmGu
11,eat,1,Type_1,3,7kFJxdmGu
11,tame,1,Type_1,3,7kFJxdmGu
11,team,1,Type_1,3,7kFJxdmGu
11,teams,1,Type_1,3,7kFJxdmGu
11,hat,1,Type_1,3,7kFJxdmGu
11,hats,1,Type_1,3,7kFJxdmGu
11,mats,1,Type_1,3,7kFJxdmGu
11,stem,1,Type_1,3,7kFJxdmGu
11,steam,1,Type_1,3,7kFJxdmGu
11,meat,1,Type_1,3,7kFJxdmGu
11,meats,1,Type_1,3,7kFJxdmGu
11,seam,1,Type_1,3,7kFJxdmGu
11,ham,1,Type_1,3,7kFJxdmGu
11,hams,1,Type_1,3,7kFJxdmGu
11,seat,1,Type_1,3,7kFJxdmGu
11,heat,1,Type_1,3,7kFJxdmGu
11,case,1,Type_1,3,7kFJxdmGu
11,came,1,Type_1,3,7kFJxdmGu
11,me,1,Type_1,3,7kFJxdmGu
11,ace,1,Type_1,3,7kFJxdmGu
11,at,1,Type_1,3,7kFJxdmGu
11,cash,1,Type_1,3,7kFJxdmGu
11,east,1,Type_1,3,7kFJxdmGu
11,mat,1,Type_1,3,7kFJxdmGu
11,tea,1,Type_1,3,7kFJxdmGu
11,tech,1,Type_1,3,7kFJxdmGu
11,as,1,Type_1,3,7kFJxdmGu
11,has,1,Type_1,3,7kFJxdmGu
11,mate,1,Type_1,3,7kFJxdmGu
11,hat,1,Type_1,3,7kFJxdmGu
11,hate,1,Type_1,3,7kFJxdmGu
11,cash,1,Type_1,3,7kFJxdmGu
11,mash,1,Type_1,3,7kFJxdmGu
11,cheat,1,Type_1,3,7kFJxdmGu
11,cheats,1,Type_1,3,7kFJxdmGu
5,sae,1,Type_0,3,t2YVPYZKE
5,same,1,Type_0,3,t2YVPYZKE
5,set,1,Type_0,3,t2YVPYZKE
5,sat,1,Type_0,3,t2YVPYZKE
5,ate,1,Type_0,3,t2YVPYZKE
5,cast,1,Type_0,3,t2YVPYZKE
5,haste,1,Type_0,3,t2YVPYZKE
5,tame,1,Type_0,3,t2YVPYZKE
5,same,1,Type_0,3,t2YVPYZKE
5,came,1,Type_0,3,t2YVPYZKE
5,mate,1,Type_0,3,t2YVPYZKE
5,mates,1,Type_0,3,t2YVPYZKE
5,hat,1,Type_0,3,t2YVPYZKE
5,hate,1,Type_0,3,t2YVPYZKE
5,hats,1,Type_0,3,t2YVPYZKE
5,cat,1,Type_0,3,t2YVPYZKE
5,cats,1,Type_0,3,t2YVPYZKE
5,mat,1,Type_0,3,t2YVPYZKE
5,mats,1,Type_0,3,t2YVPYZKE
5,met,1,Type_0,3,t2YVPYZKE
5,shat,1,Type_0,3,t2YVPYZKE
