Group,ID1,ID2,TotalMax,TotalGroup,SameWords,CollectiveBenefit,CollectiveBenefitHard,TotalMax_r3,Participant,TotalP1_r3,TotalP2_r3,TotalP1,TotalP2,IndividualChange,Round,Total,SimilarityRatio,DiversityRatio,UniqueWords
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P1,54,20,51,10,1.0588235294117647,1,51,0.19607843137254902,5.777777777777778,52
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P1,54,20,51,10,1.0588235294117647,3,54,0.37037037037037035,3.375,54
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P2,54,20,51,10,2,1,10,0.19607843137254902,5.777777777777778,52
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P2,54,20,51,10,2,3,20,0.37037037037037035,3.375,54
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P1,70,37,23,NA,3.0434782608695654,1,23,NA,NA,NA
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P1,70,37,23,NA,3.0434782608695654,3,70,0.5285714285714286,2.4074074074074074,65
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P2,70,37,23,NA,NA,1,NA,NA,NA,NA
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P2,70,37,23,NA,NA,3,37,0.5285714285714286,2.4074074074074074,65
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P1,NA,34,17,16,NA,1,17,0.9411764705882353,3.5714285714285716,25
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P1,NA,34,17,16,NA,3,NA,NA,NA,30
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P2,NA,34,17,16,2.125,1,16,0.9411764705882353,3.5714285714285716,25
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P2,NA,34,17,16,2.125,3,34,NA,NA,30
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P1,NA,29,22,25,NA,1,22,0.88,3.6666666666666665,33
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P1,NA,29,22,25,NA,3,NA,NA,NA,25
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P2,NA,29,22,25,1.16,1,25,0.88,3.6666666666666665,33
