"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"2510.1099999737926","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","24689","0.0-2.0-0.0-1.0","0qkw","auditory","true"
"705.8499999693595","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","25897","0.0-2.0-0.0-1.1","0qkw","auditory","true"
"453.9349999977276","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","26856","0.0-2.0-0.0-1.2","0qkw","auditory","false"
"1880.4799999925308","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","9","29240","0.0-2.0-0.0-1.3","0qkw","auditory","true"
"946.8099999940023","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","30693","0.0-2.0-0.0-1.4","0qkw","auditory","true"
"653.2049999805167","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","13","31850","0.0-2.0-0.0-1.5","0qkw","auditory","true"
"488.89999999664724","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","32843","0.0-2.0-0.0-1.6","0qkw","auditory","true"
"495.56499999016523","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","17","33843","0.0-2.0-0.0-1.7","0qkw","auditory","true"
"337.31999999145046","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","19","34684","0.0-2.0-0.0-1.8","0qkw","auditory","true"
"444.6849999949336","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","35635","0.0-2.0-0.0-1.9","0qkw","auditory","true"
"681.6000000108033","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","36820","0.0-2.0-0.0-1.10","0qkw","auditory","true"
"575.014999951236","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","25","37898","0.0-2.0-0.0-1.11","0qkw","auditory","true"
"301.44000001018867","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","38703","0.0-2.0-0.0-1.12","0qkw","auditory","true"
"538.7500000069849","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","29","39746","0.0-2.0-0.0-1.13","0qkw","auditory","true"
"564.1350000514649","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","40816","0.0-2.0-0.0-1.14","0qkw","auditory","true"
"630.4200000013225","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","41951","0.0-2.0-0.0-1.15","0qkw","auditory","true"
"801.3350000255741","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","51659","0.0-2.0-0.1-1.16","0qkw","auditory","true"
"432.314999983646","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","52595","0.0-2.0-0.1-1.17","0qkw","auditory","true"
"361.59499996574596","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","53461","0.0-2.0-0.1-1.18","0qkw","auditory","true"
"326.37500000419095","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","54293","0.0-2.0-0.1-1.19","0qkw","auditory","true"
"406.4549999893643","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","55201","0.0-2.0-0.1-1.20","0qkw","auditory","true"
"318.6149999964982","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","46","56024","0.0-2.0-0.1-1.21","0qkw","auditory","true"
"271.38500002911314","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","48","56797","0.0-2.0-0.1-1.22","0qkw","auditory","false"
"741.5599999949336","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","50","58044","0.0-2.0-0.1-1.23","0qkw","auditory","true"
"672.5350000197068","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","59222","0.0-2.0-0.1-1.24","0qkw","auditory","true"
"427.3699999903329","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","60154","0.0-2.0-0.1-1.25","0qkw","auditory","true"
"526.1499999905936","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","61185","0.0-2.0-0.1-1.26","0qkw","auditory","true"
"319.7550000040792","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","62010","0.0-2.0-0.1-1.27","0qkw","auditory","true"
"422.25000000325963","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","62937","0.0-2.0-0.1-1.28","0qkw","auditory","true"
"340.00000002561137","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","63782","0.0-2.0-0.1-1.29","0qkw","auditory","true"
"500.54500001715496","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","64788","0.0-2.0-0.1-1.30","0qkw","auditory","true"
"505.96999999834225","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","65799","0.0-2.0-0.1-1.31","0qkw","auditory","true"
