"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1591.005000002042","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","62024","0.0-2.0-0.0-1.0","aysm","auditory","true"
"466.935000004014","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","63005","0.0-2.0-0.0-1.1","aysm","auditory","true"
"467.80500000022585","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","7","63988","0.0-2.0-0.0-1.2","aysm","auditory","true"
"537.7200000002631","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","65030","0.0-2.0-0.0-1.3","aysm","auditory","true"
"344.0499999996973","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","65884","0.0-2.0-0.0-1.4","aysm","auditory","true"
"325.0700000062352","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","66726","0.0-2.0-0.0-1.5","aysm","auditory","true"
"259.74999999743886","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","67501","0.0-2.0-0.0-1.6","aysm","auditory","true"
"776.4150000002701","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","17","68784","0.0-2.0-0.0-1.7","aysm","auditory","true"
"851.7399999982445","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","19","70147","0.0-2.0-0.0-1.8","aysm","auditory","true"
"359.904999997525","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","71010","0.0-2.0-0.0-1.9","aysm","auditory","true"
"452.46499999484513","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","71974","0.0-2.0-0.0-1.10","aysm","auditory","true"
"460.05500000319444","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","25","72946","0.0-2.0-0.0-1.11","aysm","auditory","true"
"658.0350000003818","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","27","74107","0.0-2.0-0.0-1.12","aysm","auditory","true"
"434.71999999746913","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","75058","0.0-2.0-0.0-1.13","aysm","auditory","true"
"389.01500000065425","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","75958","0.0-2.0-0.0-1.14","aysm","auditory","true"
"494.3649999986519","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","76966","0.0-2.0-0.0-1.15","aysm","auditory","true"
"2077.4949999977252","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","36","86104","0.0-2.0-0.1-1.16","aysm","auditory","true"
"588.2500000006985","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","38","87207","0.0-2.0-0.1-1.17","aysm","auditory","true"
"420.74999999749707","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","88133","0.0-2.0-0.1-1.18","aysm","auditory","true"
"409.6849999987171","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","89052","0.0-2.0-0.1-1.19","aysm","auditory","true"
"838.4499999956461","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","90397","0.0-2.0-0.1-1.20","aysm","auditory","true"
"482.20500000024913","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","91391","0.0-2.0-0.1-1.21","aysm","auditory","true"
"577.3449999978766","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","92475","0.0-2.0-0.1-1.22","aysm","auditory","true"
"459.30999999836786","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","93449","0.0-2.0-0.1-1.23","aysm","auditory","true"
"395.2350000035949","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","94347","0.0-2.0-0.1-1.24","aysm","auditory","true"
"584.7649999996065","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","54","95436","0.0-2.0-0.1-1.25","aysm","auditory","true"
"456.44500000344124","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","96399","0.0-2.0-0.1-1.26","aysm","auditory","true"
"732.3850000029779","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","58","97642","0.0-2.0-0.1-1.27","aysm","auditory","true"
"414.45999999996275","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","98570","0.0-2.0-0.1-1.28","aysm","auditory","true"
"323.73500000539934","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","99411","0.0-2.0-0.1-1.29","aysm","auditory","true"
"417.27499999979045","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","100344","0.0-2.0-0.1-1.30","aysm","auditory","true"
"573.8399999972899","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","66","101427","0.0-2.0-0.1-1.31","aysm","auditory","true"
