"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1080.149999994319","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","35330","0.0-2.0-0.0-1.0","g75h","auditory","true"
"545.4599999939092","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","36382","0.0-2.0-0.0-1.1","g75h","auditory","true"
"647.7099999901839","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","37534","0.0-2.0-0.0-1.2","g75h","auditory","true"
"1093.8000000314787","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","9","39141","0.0-2.0-0.0-1.3","g75h","auditory","true"
"551.5700000105426","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","40201","0.0-2.0-0.0-1.4","g75h","auditory","true"
"433.36000002454966","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","41149","0.0-2.0-0.0-1.5","g75h","auditory","true"
"846.9150000018999","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","42508","0.0-2.0-0.0-1.6","g75h","auditory","true"
"636.7500000051223","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","17","43658","0.0-2.0-0.0-1.7","g75h","auditory","true"
"775.3800000064075","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","44948","0.0-2.0-0.0-1.8","g75h","auditory","true"
"632.9450000193901","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","21","46084","0.0-2.0-0.0-1.9","g75h","auditory","true"
"585.8299999963492","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","23","47184","0.0-2.0-0.0-1.10","g75h","auditory","true"
"600.8600000059232","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","48293","0.0-2.0-0.0-1.11","g75h","auditory","true"
"473.2250000233762","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","49274","0.0-2.0-0.0-1.12","g75h","auditory","true"
"628.1000000308268","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","29","50414","0.0-2.0-0.0-1.13","g75h","auditory","true"
"798.8099999492988","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","51730","0.0-2.0-0.0-1.14","g75h","auditory","true"
"710.4350000154227","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","33","52946","0.0-2.0-0.0-1.15","g75h","auditory","true"
"537.4999999767169","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","36","58624","0.0-2.0-0.1-1.16","g75h","auditory","true"
"435.0300000514835","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","59567","0.0-2.0-0.1-1.17","g75h","auditory","true"
"495.15500001143664","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","60578","0.0-2.0-0.1-1.18","g75h","auditory","true"
"432.4449999839999","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","61528","0.0-2.0-0.1-1.19","g75h","auditory","true"
"428.2799999928102","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","62476","0.0-2.0-0.1-1.20","g75h","auditory","true"
"425.5150000099093","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","46","63407","0.0-2.0-0.1-1.21","g75h","auditory","true"
"437.8599999472499","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","64354","0.0-2.0-0.1-1.22","g75h","auditory","true"
"961.2600000109524","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","65827","0.0-2.0-0.1-1.23","g75h","auditory","true"
"556.284999998752","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","66888","0.0-2.0-0.1-1.24","g75h","auditory","true"
"711.5450000273995","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","68104","0.0-2.0-0.1-1.25","g75h","auditory","true"
"530.8599999989383","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","69150","0.0-2.0-0.1-1.26","g75h","auditory","true"
"898.8450000179","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","70559","0.0-2.0-0.1-1.27","g75h","auditory","true"
"343.2349999784492","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","71416","0.0-2.0-0.1-1.28","g75h","auditory","true"
"391.04000001680106","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","72323","0.0-2.0-0.1-1.29","g75h","auditory","true"
"358.9299999875948","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","64","73197","0.0-2.0-0.1-1.30","g75h","auditory","true"
"885.5800000019372","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","66","74595","0.0-2.0-0.1-1.31","g75h","auditory","true"
