"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1118.6899999156594","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","3","41198","0.0-2.0-0.0-1.0","gczb","auditory","true"
"413.3300001267344","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","42118","0.0-2.0-0.0-1.1","gczb","auditory","true"
"568.1549999862909","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","7","43199","0.0-2.0-0.0-1.2","gczb","auditory","true"
"384.4600000884384","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","44093","0.0-2.0-0.0-1.3","gczb","auditory","true"
"434.3600000720471","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","11","45046","0.0-2.0-0.0-1.4","gczb","auditory","true"
"394.39000003039837","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","45956","0.0-2.0-0.0-1.5","gczb","auditory","true"
"341.8800001963973","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","46804","0.0-2.0-0.0-1.6","gczb","auditory","true"
"380.17999986186624","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","17","47689","0.0-2.0-0.0-1.7","gczb","auditory","true"
"421.8150000087917","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","48614","0.0-2.0-0.0-1.8","gczb","auditory","true"
"412.02499996870756","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","49533","0.0-2.0-0.0-1.9","gczb","auditory","false"
"544.095000019297","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","23","50593","0.0-2.0-0.0-1.10","gczb","auditory","true"
"313.7550000101328","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","51415","0.0-2.0-0.0-1.11","gczb","auditory","true"
"364.7449999116361","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","52288","0.0-2.0-0.0-1.12","gczb","auditory","true"
"357.4349998962134","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","53150","0.0-2.0-0.0-1.13","gczb","auditory","false"
"568.3150000404567","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","31","54226","0.0-2.0-0.0-1.14","gczb","auditory","true"
"414.45000004023314","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","55153","0.0-2.0-0.0-1.15","gczb","auditory","true"
"642.5550000276417","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","59023","0.0-2.0-0.1-1.16","gczb","auditory","true"
"461.6249999962747","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","38","59989","0.0-2.0-0.1-1.17","gczb","auditory","true"
"371.2599999271333","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","60864","0.0-2.0-0.1-1.18","gczb","auditory","true"
"469.7300000116229","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","42","61841","0.0-2.0-0.1-1.19","gczb","auditory","true"
"492.765000090003","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","44","62837","0.0-2.0-0.1-1.20","gczb","auditory","true"
"482.57499979808927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","63834","0.0-2.0-0.1-1.21","gczb","auditory","true"
"581.0650000348687","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","48","64922","0.0-2.0-0.1-1.22","gczb","auditory","true"
"681.5949999727309","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","66117","0.0-2.0-0.1-1.23","gczb","auditory","true"
"404.98999995179474","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","67028","0.0-2.0-0.1-1.24","gczb","auditory","true"
"437.2300000395626","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","67971","0.0-2.0-0.1-1.25","gczb","auditory","true"
"528.3749999944121","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","69008","0.0-2.0-0.1-1.26","gczb","auditory","false"
"816.7950001079589","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","58","70336","0.0-2.0-0.1-1.27","gczb","auditory","true"
"595.3750000335276","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","71442","0.0-2.0-0.1-1.28","gczb","auditory","true"
"1401.6750000882894","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","73347","0.0-2.0-0.1-1.29","gczb","auditory","true"
"463.9449999667704","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","64","74318","0.0-2.0-0.1-1.30","gczb","auditory","true"
"338.41000008396804","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","75163","0.0-2.0-0.1-1.31","gczb","auditory","true"
