"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"8255","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","34552","0.0-2.0-0.0-1.0","lvco","auditory","false"
"1957","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","5","37016","0.0-2.0-0.0-1.1","lvco","auditory","true"
"450","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","37969","0.0-2.0-0.0-1.2","lvco","auditory","true"
"291.9999999999927","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","9","38766","0.0-2.0-0.0-1.3","lvco","auditory","false"
"816","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","40086","0.0-2.0-0.0-1.4","lvco","auditory","true"
"1574","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","13","42164","0.0-2.0-0.0-1.5","lvco","auditory","true"
"1072.0000000000073","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","43740","0.0-2.0-0.0-1.6","lvco","auditory","true"
"453","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","44697","0.0-2.0-0.0-1.7","lvco","auditory","true"
"522","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","45723","0.0-2.0-0.0-1.8","lvco","auditory","true"
"412.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","21","46640","0.0-2.0-0.0-1.9","lvco","auditory","true"
"471","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","47616","0.0-2.0-0.0-1.10","lvco","auditory","true"
"380","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","48502","0.0-2.0-0.0-1.11","lvco","auditory","true"
"357","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","49363","0.0-2.0-0.0-1.12","lvco","auditory","true"
"489.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","29","50357","0.0-2.0-0.0-1.13","lvco","auditory","true"
"424.9999999999927","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","31","51287","0.0-2.0-0.0-1.14","lvco","auditory","true"
"422","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","52212","0.0-2.0-0.0-1.15","lvco","auditory","true"
"474.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","57275","0.0-2.0-0.1-1.16","lvco","auditory","true"
"317","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","38","58097","0.0-2.0-0.1-1.17","lvco","auditory","false"
"552","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","40","59153","0.0-2.0-0.1-1.18","lvco","auditory","true"
"413","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","60069","0.0-2.0-0.1-1.19","lvco","auditory","true"
"490","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","44","61064","0.0-2.0-0.1-1.20","lvco","auditory","true"
"638","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","46","62206","0.0-2.0-0.1-1.21","lvco","auditory","true"
"559","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","48","63269","0.0-2.0-0.1-1.22","lvco","auditory","true"
"465.9999999999927","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","50","64240","0.0-2.0-0.1-1.23","lvco","auditory","true"
"644","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","65388","0.0-2.0-0.1-1.24","lvco","auditory","true"
"436","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","66328","0.0-2.0-0.1-1.25","lvco","auditory","true"
"397","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","56","67230","0.0-2.0-0.1-1.26","lvco","auditory","true"
"376","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","58","68110","0.0-2.0-0.1-1.27","lvco","auditory","false"
"605","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","60","69219","0.0-2.0-0.1-1.28","lvco","auditory","true"
"453","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","62","70176","0.0-2.0-0.1-1.29","lvco","auditory","true"
"430","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","71112","0.0-2.0-0.1-1.30","lvco","auditory","true"
"388","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","72005","0.0-2.0-0.1-1.31","lvco","auditory","true"
