"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"789","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","3","45283","0.0-2.0-0.0-1.0","r7r9","auditory","false"
"434","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","5","46222","0.0-2.0-0.0-1.1","r7r9","auditory","false"
"449","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","47176","0.0-2.0-0.0-1.2","r7r9","auditory","false"
"507","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","48188","0.0-2.0-0.0-1.3","r7r9","auditory","false"
"477","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","49172","0.0-2.0-0.0-1.4","r7r9","auditory","false"
"510","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","13","50189","0.0-2.0-0.0-1.5","r7r9","auditory","false"
"385.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","15","51080","0.0-2.0-0.0-1.6","r7r9","auditory","false"
"462","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","17","52047","0.0-2.0-0.0-1.7","r7r9","auditory","false"
"397","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","19","52950","0.0-2.0-0.0-1.8","r7r9","auditory","false"
"294.9999999999927","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","53750","0.0-2.0-0.0-1.9","r7r9","auditory","false"
"521","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","23","54777","0.0-2.0-0.0-1.10","r7r9","auditory","false"
"578","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","55861","0.0-2.0-0.0-1.11","r7r9","auditory","false"
"469.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","27","56837","0.0-2.0-0.0-1.12","r7r9","auditory","false"
"558","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","29","57901","0.0-2.0-0.0-1.13","r7r9","auditory","false"
"602.9999999999927","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","59010","0.0-2.0-0.0-1.14","r7r9","auditory","false"
"438","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","33","59955","0.0-2.0-0.0-1.15","r7r9","auditory","false"
"507","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","67241","0.0-2.0-0.1-1.16","r7r9","auditory","false"
"453","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","68200","0.0-2.0-0.1-1.17","r7r9","auditory","false"
"452","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","40","69157","0.0-2.0-0.1-1.18","r7r9","auditory","false"
"425","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","42","70087","0.0-2.0-0.1-1.19","r7r9","auditory","false"
"469","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","44","71061","0.0-2.0-0.1-1.20","r7r9","auditory","false"
"397","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","46","71964","0.0-2.0-0.1-1.21","r7r9","auditory","true"
"546","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","48","73015","0.0-2.0-0.1-1.22","r7r9","auditory","false"
"455.99999999998545","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","50","73976","0.0-2.0-0.1-1.23","r7r9","auditory","false"
"565","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","75047","0.0-2.0-0.1-1.24","r7r9","auditory","false"
"447.00000000001455","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","75999","0.0-2.0-0.1-1.25","r7r9","auditory","false"
"473","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","56","76978","0.0-2.0-0.1-1.26","r7r9","auditory","false"
"458","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","77941","0.0-2.0-0.1-1.27","r7r9","auditory","true"
"580.0000000000146","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","79026","0.0-2.0-0.1-1.28","r7r9","auditory","false"
"457","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","62","79988","0.0-2.0-0.1-1.29","r7r9","auditory","false"
"601","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","64","81095","0.0-2.0-0.1-1.30","r7r9","auditory","false"
"578","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","66","82179","0.0-2.0-0.1-1.31","r7r9","auditory","false"
