"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"493.79499998758547","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","3","8830","0.0-2.0-0.0-1.0","rf1l","auditory","true"
"403.20500000962056","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","9747","0.0-2.0-0.0-1.1","rf1l","auditory","true"
"341.43000000040047","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","10605","0.0-2.0-0.0-1.2","rf1l","auditory","true"
"230.95500000636093","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","9","11345","0.0-2.0-0.0-1.3","rf1l","auditory","true"
"398.7699999997858","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","11","12251","0.0-2.0-0.0-1.4","rf1l","auditory","true"
"221.9899999909103","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","12985","0.0-2.0-0.0-1.5","rf1l","auditory","true"
"314.5349999831524","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","15","13805","0.0-2.0-0.0-1.6","rf1l","auditory","true"
"241.64500000188127","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","17","14555","0.0-2.0-0.0-1.7","rf1l","auditory","false"
"477.38999998546205","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","19","15541","0.0-2.0-0.0-1.8","rf1l","auditory","true"
"372.38499999511987","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","16436","0.0-2.0-0.0-1.9","rf1l","auditory","true"
"247.31499998597428","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","23","17201","0.0-2.0-0.0-1.10","rf1l","auditory","true"
"223.1000000028871","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","25","17936","0.0-2.0-0.0-1.11","rf1l","auditory","false"
"692.9649999947287","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","19136","0.0-2.0-0.0-1.12","rf1l","auditory","true"
"294.17500001727603","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","29","19937","0.0-2.0-0.0-1.13","rf1l","auditory","true"
"213.48000000580214","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","31","20656","0.0-2.0-0.0-1.14","rf1l","auditory","false"
"45.79000000376254","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","21206","0.0-2.0-0.0-1.15","rf1l","auditory","false"
"324.57500000600703","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","24718","0.0-2.0-0.1-1.16","rf1l","auditory","false"
"193.76999998348765","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","25417","0.0-2.0-0.1-1.17","rf1l","auditory","false"
"143.51999998325482","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","40","26073","0.0-2.0-0.1-1.18","rf1l","auditory","false"
"339.1649999830406","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","42","26922","0.0-2.0-0.1-1.19","rf1l","auditory","false"
"2174.635000003036","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","29608","0.0-2.0-0.1-1.20","rf1l","auditory","true"
"704.0199999755714","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","46","30818","0.0-2.0-0.1-1.21","rf1l","auditory","true"
"425.95500001334585","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","31748","0.0-2.0-0.1-1.22","rf1l","auditory","true"
"305.87999999988824","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","50","32558","0.0-2.0-0.1-1.23","rf1l","auditory","true"
"259.7900000109803","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","52","33333","0.0-2.0-0.1-1.24","rf1l","auditory","true"
"405.9749999723863","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","54","34249","0.0-2.0-0.1-1.25","rf1l","auditory","true"
"225.71500000776723","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","34988","0.0-2.0-0.1-1.26","rf1l","auditory","true"
"515.5850000155624","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","36008","0.0-2.0-0.1-1.27","rf1l","auditory","true"
"266.38500002445653","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","60","36779","0.0-2.0-0.1-1.28","rf1l","auditory","true"
"292.51500000827946","sounds/440Hz100ms.wav","76","test","grey","small","low","i","audio-keyboard-response","62","37575","0.0-2.0-0.1-1.29","rf1l","auditory","true"
"350.23500001989305","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","64","38434","0.0-2.0-0.1-1.30","rf1l","auditory","true"
"430.5049999966286","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","39369","0.0-2.0-0.1-1.31","rf1l","auditory","true"
