"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"817.6099999982398","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","27807","0.0-2.0-0.0-1.0","0t3v","auditory","true"
"554.4000000081724","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","28866","0.0-2.0-0.0-1.1","0t3v","auditory","true"
"329.19000000401866","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","7","29698","0.0-2.0-0.0-1.2","0t3v","auditory","false"
"543.6750000080792","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","30743","0.0-2.0-0.0-1.3","0t3v","auditory","true"
"373.35999999777414","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","31618","0.0-2.0-0.0-1.4","0t3v","auditory","true"
"312.4299999908544","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","32435","0.0-2.0-0.0-1.5","0t3v","auditory","true"
"402.0099999906961","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","33342","0.0-2.0-0.0-1.6","0t3v","auditory","true"
"473.8000000070315","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","17","34318","0.0-2.0-0.0-1.7","0t3v","auditory","true"
"382.22999998833984","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","19","35204","0.0-2.0-0.0-1.8","0t3v","auditory","true"
"312.87500000325963","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","21","36019","0.0-2.0-0.0-1.9","0t3v","auditory","true"
"387.0749999914551","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","23","36909","0.0-2.0-0.0-1.10","0t3v","auditory","true"
"357.49499998928513","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","25","37773","0.0-2.0-0.0-1.11","0t3v","auditory","true"
"333.16999999806285","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","38610","0.0-2.0-0.0-1.12","0t3v","auditory","true"
"385.37499999802094","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","39500","0.0-2.0-0.0-1.13","0t3v","auditory","true"
"261.9800000102259","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","31","40266","0.0-2.0-0.0-1.14","0t3v","auditory","false"
"559.9599999986822","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","33","41328","0.0-2.0-0.0-1.15","0t3v","auditory","true"
"491.38500000117347","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","49064","0.0-2.0-0.1-1.16","0t3v","auditory","true"
"406.22499999881256","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","49972","0.0-2.0-0.1-1.17","0t3v","auditory","true"
"387.5149999948917","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","40","50864","0.0-2.0-0.1-1.18","0t3v","auditory","true"
"390.6949999945937","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","42","51756","0.0-2.0-0.1-1.19","0t3v","auditory","true"
"407.30999999505","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","44","52669","0.0-2.0-0.1-1.20","0t3v","auditory","true"
"360.2400000090711","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","46","53534","0.0-2.0-0.1-1.21","0t3v","auditory","true"
"425.52999999315944","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","48","54464","0.0-2.0-0.1-1.22","0t3v","auditory","true"
"378.3549999934621","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","55348","0.0-2.0-0.1-1.23","0t3v","auditory","true"
"342.25999999034684","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","56194","0.0-2.0-0.1-1.24","0t3v","auditory","true"
"332.3050000035437","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","57031","0.0-2.0-0.1-1.25","0t3v","auditory","true"
"247.63499999244232","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","56","57782","0.0-2.0-0.1-1.26","0t3v","auditory","false"
"499.9799999932293","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","58784","0.0-2.0-0.1-1.27","0t3v","auditory","true"
"544.739999997546","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","60","59833","0.0-2.0-0.1-1.28","0t3v","auditory","true"
"426.60999999498017","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","62","60764","0.0-2.0-0.1-1.29","0t3v","auditory","true"
"492.4800000007963","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","64","61760","0.0-2.0-0.1-1.30","0t3v","auditory","false"
"512.2300000075484","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","62777","0.0-2.0-0.1-1.31","0t3v","auditory","true"
