"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"823.6549999855924","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","34403","0.0-2.0-0.0-1.0","3v40","auditory","true"
"697.6049999939278","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","5","35604","0.0-2.0-0.0-1.1","3v40","auditory","true"
"905.0850000057835","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","7","37014","0.0-2.0-0.0-1.2","3v40","auditory","true"
"666.2749999959487","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","9","38183","0.0-2.0-0.0-1.3","3v40","auditory","true"
"1413.9800000120886","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","40099","0.0-2.0-0.0-1.4","3v40","auditory","true"
"11808.429999975488","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","52415","0.0-2.0-0.0-1.5","3v40","auditory","true"
"514.9349999846891","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","15","53434","0.0-2.0-0.0-1.6","3v40","auditory","true"
"482.9250000184402","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","54420","0.0-2.0-0.0-1.7","3v40","auditory","true"
"462.1550000156276","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","55384","0.0-2.0-0.0-1.8","3v40","auditory","true"
"837.7949999994598","sounds/2420Hz100ms.wav","76","test","grey","small","high","c","audio-keyboard-response","21","56726","0.0-2.0-0.0-1.9","3v40","auditory","false"
"1207.9249999951571","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","58439","0.0-2.0-0.0-1.10","3v40","auditory","true"
"508.4599999827333","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","59452","0.0-2.0-0.0-1.11","3v40","auditory","true"
"698.8199999905191","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","60656","0.0-2.0-0.0-1.12","3v40","auditory","true"
"603.4700000018347","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","61765","0.0-2.0-0.0-1.13","3v40","auditory","true"
"675.1299999887124","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","62945","0.0-2.0-0.0-1.14","3v40","auditory","true"
"919.3450000020675","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","33","64369","0.0-2.0-0.0-1.15","3v40","auditory","false"
"824.91499997559","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","68405","0.0-2.0-0.1-1.16","3v40","auditory","true"
"515.9649999986868","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","38","69426","0.0-2.0-0.1-1.17","3v40","auditory","true"
"497.21000000135973","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","70425","0.0-2.0-0.1-1.18","3v40","auditory","true"
"459.42999998806044","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","42","71389","0.0-2.0-0.1-1.19","3v40","auditory","true"
"435.5050000012852","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","72332","0.0-2.0-0.1-1.20","3v40","auditory","true"
"489.36000000685453","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","73325","0.0-2.0-0.1-1.21","3v40","auditory","true"
"457.1750000177417","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","74284","0.0-2.0-0.1-1.22","3v40","auditory","true"
"469.51500000432134","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","75258","0.0-2.0-0.1-1.23","3v40","auditory","true"
"427.70000000018626","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","52","76192","0.0-2.0-0.1-1.24","3v40","auditory","true"
"455.0699999963399","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","77150","0.0-2.0-0.1-1.25","3v40","auditory","true"
"435.235000011744","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","78091","0.0-2.0-0.1-1.26","3v40","auditory","true"
"478.62499998882413","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","79071","0.0-2.0-0.1-1.27","3v40","auditory","true"
"1435.605000006035","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","60","81009","0.0-2.0-0.1-1.28","3v40","auditory","true"
"504.14000000455417","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","62","82016","0.0-2.0-0.1-1.29","3v40","auditory","true"
"457.605000003241","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","64","82976","0.0-2.0-0.1-1.30","3v40","auditory","true"
"388.7850000173785","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","66","83869","0.0-2.0-0.1-1.31","3v40","auditory","true"
