rt,stimulus,key_press,part,color,size,pitch,congruency,trial_type,trial_index,time_elapsed,internal_node_id,subject,version,accuracy
483.995,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,3,3905,0.0-2.0-0.0-1.0,kf17,auditory,TRUE
613.58,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,5,5025,0.0-2.0-0.0-1.1,kf17,auditory,TRUE
462.725,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,7,5992,0.0-2.0-0.0-1.2,kf17,auditory,TRUE
514.025,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,9,7015,0.0-2.0-0.0-1.3,kf17,auditory,TRUE
400.4700001,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,11,7923,0.0-2.0-0.0-1.4,kf17,auditory,TRUE
389.88,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,13,8819,0.0-2.0-0.0-1.5,kf17,auditory,TRUE
421.605,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,15,9743,0.0-2.0-0.0-1.6,kf17,auditory,TRUE
424.7,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,17,10672,0.0-2.0-0.0-1.7,kf17,auditory,TRUE
427.745,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,19,11604,0.0-2.0-0.0-1.8,kf17,auditory,TRUE
415.56,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,21,12523,0.0-2.0-0.0-1.9,kf17,auditory,TRUE
459.955,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,23,13488,0.0-2.0-0.0-1.10,kf17,auditory,TRUE
402.44,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,25,14394,0.0-2.0-0.0-1.11,kf17,auditory,TRUE
484.585,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,27,15384,0.0-2.0-0.0-1.12,kf17,auditory,TRUE
481.945,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,29,16371,0.0-2.0-0.0-1.13,kf17,auditory,TRUE
347.42,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,31,17221,0.0-2.0-0.0-1.14,kf17,auditory,TRUE
421.93,sounds/2420Hz100ms.wav,83,test,grey,large,high,i,audio-keyboard-response,33,18147,0.0-2.0-0.0-1.15,kf17,auditory,FALSE
609.35,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,36,19331,0.0-2.0-0.1-1.16,kf17,auditory,TRUE
477.64,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,38,20312,0.0-2.0-0.1-1.17,kf17,auditory,TRUE
426.115,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,40,21244,0.0-2.0-0.1-1.18,kf17,auditory,TRUE
418.325,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,42,22168,0.0-2.0-0.1-1.19,kf17,auditory,TRUE
378.9,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,44,23052,0.0-2.0-0.1-1.20,kf17,auditory,TRUE
392.21,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,46,23948,0.0-2.0-0.1-1.21,kf17,auditory,TRUE
397.26,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,48,24849,0.0-2.0-0.1-1.22,kf17,auditory,TRUE
411.93,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,50,25764,0.0-2.0-0.1-1.23,kf17,auditory,TRUE
480.875,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,52,26750,0.0-2.0-0.1-1.24,kf17,auditory,TRUE
401.99,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,54,27656,0.0-2.0-0.1-1.25,kf17,auditory,TRUE
365.56,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,56,28525,0.0-2.0-0.1-1.26,kf17,auditory,TRUE
320.675,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,58,29348,0.0-2.0-0.1-1.27,kf17,auditory,TRUE
511.025,sounds/440Hz100ms.wav,83,test,grey,small,low,i,audio-keyboard-response,60,30363,0.0-2.0-0.1-1.28,kf17,auditory,TRUE
358.165,sounds/2420Hz100ms.wav,83,test,grey,small,high,c,audio-keyboard-response,62,31225,0.0-2.0-0.1-1.29,kf17,auditory,TRUE
424.385,sounds/440Hz100ms.wav,76,test,grey,large,low,c,audio-keyboard-response,64,32153,0.0-2.0-0.1-1.30,kf17,auditory,TRUE
440.7,sounds/2420Hz100ms.wav,76,test,grey,large,high,i,audio-keyboard-response,66,33097,0.0-2.0-0.1-1.31,kf17,auditory,TRUE
