"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1369.7349999565631","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","3","25707","0.0-2.0-0.0-1.0","kol1","auditory","true"
"642.1850000042468","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","26853","0.0-2.0-0.0-1.1","kol1","auditory","true"
"748.3950000023469","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","28104","0.0-2.0-0.0-1.2","kol1","auditory","true"
"462.93500007595867","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","29068","0.0-2.0-0.0-1.3","kol1","auditory","true"
"561.7499999934807","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","11","30131","0.0-2.0-0.0-1.4","kol1","auditory","true"
"571.8300000298768","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","13","31205","0.0-2.0-0.0-1.5","kol1","auditory","true"
"570.3300000168383","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","15","32278","0.0-2.0-0.0-1.6","kol1","auditory","true"
"467.91500004474074","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","33247","0.0-2.0-0.0-1.7","kol1","auditory","true"
"681.1650000745431","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","34431","0.0-2.0-0.0-1.8","kol1","auditory","true"
"476.51499998755753","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","21","35409","0.0-2.0-0.0-1.9","kol1","auditory","true"
"612.375000026077","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","23","36523","0.0-2.0-0.0-1.10","kol1","auditory","true"
"576.5550000360236","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","25","37602","0.0-2.0-0.0-1.11","kol1","auditory","true"
"376.46000005770475","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","27","38480","0.0-2.0-0.0-1.12","kol1","auditory","true"
"432.0750000188127","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","39414","0.0-2.0-0.0-1.13","kol1","auditory","true"
"546.8000000109896","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","40463","0.0-2.0-0.0-1.14","kol1","auditory","true"
"441.88499997835606","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","33","41406","0.0-2.0-0.0-1.15","kol1","auditory","true"
"1424.3150000693277","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","36","45820","0.0-2.0-0.1-1.16","kol1","auditory","true"
"651.1500000488013","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","38","46973","0.0-2.0-0.1-1.17","kol1","auditory","true"
"532.634999952279","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","48007","0.0-2.0-0.1-1.18","kol1","auditory","true"
"420.27999996207654","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","48930","0.0-2.0-0.1-1.19","kol1","auditory","true"
"478.7249999353662","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","44","49911","0.0-2.0-0.1-1.20","kol1","auditory","true"
"630.1549999043345","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","46","51043","0.0-2.0-0.1-1.21","kol1","auditory","true"
"525.9599999990314","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","48","52071","0.0-2.0-0.1-1.22","kol1","auditory","true"
"602.0450000651181","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","53175","0.0-2.0-0.1-1.23","kol1","auditory","true"
"475.6050000432879","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","52","54154","0.0-2.0-0.1-1.24","kol1","auditory","true"
"447.2049999749288","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","54","55102","0.0-2.0-0.1-1.25","kol1","auditory","true"
"430.46000006143004","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","56","56036","0.0-2.0-0.1-1.26","kol1","auditory","true"
"517.3800000920892","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","58","57054","0.0-2.0-0.1-1.27","kol1","auditory","true"
"512.470000074245","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","58068","0.0-2.0-0.1-1.28","kol1","auditory","true"
"430.9950000606477","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","59002","0.0-2.0-0.1-1.29","kol1","auditory","true"
"401.9299999345094","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","59907","0.0-2.0-0.1-1.30","kol1","auditory","true"
"472.04500006046146","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","66","60880","0.0-2.0-0.1-1.31","kol1","auditory","true"
