"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"671.0149999998976","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","3","74079","0.0-2.0-0.0-1.0","txtg","auditory","true"
"451.95000001695007","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","5","75041","0.0-2.0-0.0-1.1","txtg","auditory","true"
"401.40500001143664","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","7","75953","0.0-2.0-0.0-1.2","txtg","auditory","true"
"362.93999999179505","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","9","76828","0.0-2.0-0.0-1.3","txtg","auditory","true"
"310.3750000009313","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","11","77641","0.0-2.0-0.0-1.4","txtg","auditory","true"
"315.1800000050571","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","13","78466","0.0-2.0-0.0-1.5","txtg","auditory","true"
"273.90999998897314","sounds/2420Hz100ms.wav","83","test","grey","large","high","i","audio-keyboard-response","15","79253","0.0-2.0-0.0-1.6","txtg","auditory","false"
"479.075000010198","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","17","80242","0.0-2.0-0.0-1.7","txtg","auditory","true"
"361.99500001384877","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","19","81116","0.0-2.0-0.0-1.8","txtg","auditory","true"
"400.04000000772066","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","21","82028","0.0-2.0-0.0-1.9","txtg","auditory","true"
"458.7100000062492","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","83003","0.0-2.0-0.0-1.10","txtg","auditory","true"
"435.39500000770204","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","25","83941","0.0-2.0-0.0-1.11","txtg","auditory","true"
"393.7900000018999","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","84841","0.0-2.0-0.0-1.12","txtg","auditory","true"
"511.15499998559244","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","29","85866","0.0-2.0-0.0-1.13","txtg","auditory","true"
"384.69000000623055","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","31","86766","0.0-2.0-0.0-1.14","txtg","auditory","true"
"324.5199999946635","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","33","87603","0.0-2.0-0.0-1.15","txtg","auditory","true"
"464.2100000055507","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","36","91541","0.0-2.0-0.1-1.16","txtg","auditory","true"
"389.3349999852944","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","92441","0.0-2.0-0.1-1.17","txtg","auditory","true"
"358.7600000028033","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","40","93303","0.0-2.0-0.1-1.18","txtg","auditory","true"
"318.5150000208523","sounds/440Hz100ms.wav","83","test","grey","large","low","c","audio-keyboard-response","42","94128","0.0-2.0-0.1-1.19","txtg","auditory","false"
"502.93000001693144","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","44","95141","0.0-2.0-0.1-1.20","txtg","auditory","true"
"455.3449999948498","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","96104","0.0-2.0-0.1-1.21","txtg","auditory","true"
"454.1050000116229","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","97066","0.0-2.0-0.1-1.22","txtg","auditory","true"
"339.895000011893","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","50","97916","0.0-2.0-0.1-1.23","txtg","auditory","true"
"381.8349999783095","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","52","98816","0.0-2.0-0.1-1.24","txtg","auditory","true"
"408.289999992121","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","54","99729","0.0-2.0-0.1-1.25","txtg","auditory","true"
"335.3449999995064","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","56","100579","0.0-2.0-0.1-1.26","txtg","auditory","true"
"462.855000019772","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","58","101553","0.0-2.0-0.1-1.27","txtg","auditory","true"
"396.0800000058953","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","60","102453","0.0-2.0-0.1-1.28","txtg","auditory","true"
"370.06499999552034","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","62","103328","0.0-2.0-0.1-1.29","txtg","auditory","true"
"470.70000000530854","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","104316","0.0-2.0-0.1-1.30","txtg","auditory","true"
"415.79499997897074","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","66","105241","0.0-2.0-0.1-1.31","txtg","auditory","true"
