"rt","stimulus","key_press","part","color","size","pitch","congruency","trial_type","trial_index","time_elapsed","internal_node_id","subject","version","accuracy"
"1507","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","3","32764","0.0-2.0-0.0-1.0","xe6x","auditory","true"
"545","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","5","33814","0.0-2.0-0.0-1.1","xe6x","auditory","true"
"422","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","7","34746","0.0-2.0-0.0-1.2","xe6x","auditory","true"
"474","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","9","35734","0.0-2.0-0.0-1.3","xe6x","auditory","true"
"378","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","11","36620","0.0-2.0-0.0-1.4","xe6x","auditory","true"
"373.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","13","37500","0.0-2.0-0.0-1.5","xe6x","auditory","true"
"501","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","15","38508","0.0-2.0-0.0-1.6","xe6x","auditory","true"
"403","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","17","39424","0.0-2.0-0.0-1.7","xe6x","auditory","true"
"440.0000000000073","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","19","40372","0.0-2.0-0.0-1.8","xe6x","auditory","true"
"478","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","21","41358","0.0-2.0-0.0-1.9","xe6x","auditory","true"
"403","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","23","42267","0.0-2.0-0.0-1.10","xe6x","auditory","true"
"541","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","25","43315","0.0-2.0-0.0-1.11","xe6x","auditory","true"
"427","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","27","44254","0.0-2.0-0.0-1.12","xe6x","auditory","true"
"417","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","29","45177","0.0-2.0-0.0-1.13","xe6x","auditory","true"
"412","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","31","46095","0.0-2.0-0.0-1.14","xe6x","auditory","true"
"426","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","33","47034","0.0-2.0-0.0-1.15","xe6x","auditory","true"
"371.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","36","51571","0.0-2.0-0.1-1.16","xe6x","auditory","true"
"512","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","38","52594","0.0-2.0-0.1-1.17","xe6x","auditory","true"
"533","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","40","53634","0.0-2.0-0.1-1.18","xe6x","auditory","true"
"430","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","42","54576","0.0-2.0-0.1-1.19","xe6x","auditory","true"
"330","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","44","55413","0.0-2.0-0.1-1.20","xe6x","auditory","true"
"402.0000000000073","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","46","56322","0.0-2.0-0.1-1.21","xe6x","auditory","true"
"324","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","48","57153","0.0-2.0-0.1-1.22","xe6x","auditory","true"
"456","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","50","58115","0.0-2.0-0.1-1.23","xe6x","auditory","true"
"441","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","52","59063","0.0-2.0-0.1-1.24","xe6x","auditory","true"
"470","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","54","60039","0.0-2.0-0.1-1.25","xe6x","auditory","true"
"402","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","56","60951","0.0-2.0-0.1-1.26","xe6x","auditory","true"
"571.9999999999927","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","58","62031","0.0-2.0-0.1-1.27","xe6x","auditory","true"
"396.0000000000073","sounds/440Hz100ms.wav","76","test","grey","large","low","c","audio-keyboard-response","60","62935","0.0-2.0-0.1-1.28","xe6x","auditory","true"
"371","sounds/2420Hz100ms.wav","83","test","grey","small","high","c","audio-keyboard-response","62","63819","0.0-2.0-0.1-1.29","xe6x","auditory","true"
"315","sounds/2420Hz100ms.wav","76","test","grey","large","high","i","audio-keyboard-response","64","64646","0.0-2.0-0.1-1.30","xe6x","auditory","true"
"388","sounds/440Hz100ms.wav","83","test","grey","small","low","i","audio-keyboard-response","66","65540","0.0-2.0-0.1-1.31","xe6x","auditory","true"
